"cod_master","jan_prod","fev_prod","mar_prod","abr_prod","mai_prod","jun_prod","jul_prod"
"10958",9553.43,9147.76,19578.22,2598.07,18673.64,15784.80,17514.93
"0924",17015.15,3047.68,11682.40,8813.90,9557.61,7233.99,17678.13
"7436",530.16,218.72,1079.40,738.95,616.65,1149.30,11174.76
"11101",4247.54,5422.50,3106.53,2207.33,1297.45,869.02,2620.81
"7704",57943.68,36512.95,75068.71,46991.23,32249.82,39111.79,22373.53
"0760",1660.15,8051.46,977.97,942.87,153.48,205.39,5448.59
"7597",,,19393.11,28692.53,231497.56,196683.11,53197.24
"10881",,146.77,,,,,
"11434",14666.99,9726.32,14840.22,5978.80,4648.06,5194.47,8379.04
"10442",559431.24,358258.78,653477.69,327092.33,248665.41,203692.10,288218.49
"10816",24101.48,5121.01,16329.98,11360.18,7304.54,5377.16,10446.40
"11390",14153.06,11016.12,18487.20,18172.63,32796.74,9583.96,14190.67
"12133",,,388.24,,,,
"10758",26216.90,7386.25,15624.72,4675.06,7606.64,3780.01,12557.14
"11360",72935.45,40313.54,55042.08,27726.03,31622.70,34726.85,51789.23
"11025",1274.57,808.02,8483.39,627.87,1482.73,5996.97,433.08
"12312",,,,,,25247.14,56220.29
"1039",275.95,3507.08,656.70,95.29,306.31,536.81,253.71
"7575",1341466.44,828713.97,1318619.89,741721.56,617132.94,697494.56,936082.98
"10625",,,883.49,4434.99,259.98,146.82,1846.77
"11095",80619.95,34158.85,92719.05,53968.83,38666.37,36901.27,44137.24
"12093",,,,3352.01,38290.34,9353.64,4546.62
"12195",,,,1073.23,584.50,6204.59,21244.03
"7594",,,401.12,,1129.56,,
"12061",,,10204.72,5012.76,993.94,306.63,1545.62
"11545",3683.10,4877.40,5531.97,,,,
"7327",5927.61,4873.06,5845.12,6205.51,8507.92,3568.02,2470.09
"12240",,,,,1391.85,680.75,433.56
"11890",4143.16,,,,523.38,205.44,1394.81
"10301",30090.45,12301.37,25163.15,15536.14,12169.95,12502.87,22172.20
"10497",160.85,404.41,390.16,709.93,1054.90,597.72,411.35
"10158",442575.49,252132.06,521755.29,379563.92,373859.05,395147.10,449958.80
"11187",992.00,208.90,2785.59,792.90,1346.23,311.33,4112.98
"10282",22820.67,15434.66,20508.13,15586.94,23651.76,23692.62,19710.79
"8000",,,,,606.11,2946.57,1648.17
"10296",3122.08,2060.95,9030.88,194.49,588.89,161.61,8829.29
"10784",12741.58,11146.67,16628.28,15463.26,8147.81,11430.16,10265.62
"7628",5841.63,1510.74,11751.37,475.42,1645.64,1142.65,471.26
"12315",,,,,,40651.50,72955.57
"7000",43525.30,42835.07,80907.95,43935.45,39417.66,51483.58,34696.58
"10264",6130.82,1171.23,4959.97,3511.62,4966.41,4836.37,9719.39
"12174",,,4531.99,25142.71,25514.42,24061.86,63196.98
"7348",19074.55,3431.88,12954.29,3364.12,3205.32,215.25,327.48
"11030",6241.64,5715.91,7307.87,2460.43,6382.73,3670.19,5229.36
"0448",55687.44,40370.11,85965.00,39069.09,87936.18,55331.05,53964.88
"11932",,25138.72,57107.64,32348.75,40322.72,22233.17,21978.95
"10200",627.74,1169.47,2353.34,1142.22,2215.61,3086.98,1844.06
"7839",403071.11,231642.58,332824.45,235198.41,215270.13,267652.87,328832.93
"0984",781.86,269.09,76.34,166.33,63.13,85.33,1131.95
"7749",10851.61,3614.94,10964.62,5412.13,12074.46,2877.79,5292.32
"0119",1824.26,866.80,1486.32,1288.27,579.81,544.61,271.16
"12022",,3568.56,2562.14,1362.05,4612.20,4750.47,5384.69
"7112",,,493.23,,,,2510.59
"10000",,,,,,,1562.25
"12313",,,,,,2142.92,29106.45
"10991",9316.69,1838.13,11383.42,13434.27,7270.73,10327.96,7192.72
"11626",1410.18,824.64,,,469.10,552.83,
"0434",1001.06,162.42,859.21,1731.61,2449.71,1381.07,901.73
"11273",133536.34,38757.81,37145.79,77767.20,48615.58,18411.59,33293.58
"11276",5509.22,1381.00,6373.00,3102.18,6549.80,5371.11,4636.05
"10676",177031.19,36748.47,56888.72,51900.02,106300.51,123465.75,123037.97
"7998",3258.43,1823.78,,914.34,,,27233.76
"12407",,,,,,,3022.60
"11106",7094.08,6189.24,2795.12,510.75,568.53,2018.12,1435.60
"11418",951.00,1677.05,590.04,1049.25,2968.62,1393.86,2687.18
"11396",229.05,556.35,776.82,614.32,399.55,358.72,424.87
"11694",25757.89,11728.18,28741.27,7647.37,10776.77,7739.35,19573.26
"10699",32745.86,12426.32,21857.08,15433.85,11766.64,18229.09,17040.41
"7967",24578.34,8886.56,16998.92,16295.86,13838.38,10594.86,9434.14
"12112",,,6377.72,3716.49,1868.24,18808.88,894.64
"0258",86829.66,64690.15,63313.94,46389.82,43226.58,62162.10,59380.44
"11533",7905.98,2618.43,16546.36,11599.32,19419.77,14593.13,26349.12
"10530",80747.60,50361.75,76556.56,71630.18,33496.60,36865.85,37604.55
"7449",13974.10,17774.35,6101.65,8847.56,5774.33,4411.37,17619.51
"1014",20182.25,11780.78,21184.62,19602.41,9461.32,10561.03,10410.73
"11457",15492.78,16985.31,23500.28,28931.05,14808.83,14543.55,22341.53
"11092",11743.63,2662.41,16507.58,1897.09,573.18,2280.82,934.58
"8024",46901.38,25694.65,86481.18,28257.57,32357.44,34825.82,42656.91
"7831",3560.01,1343.34,4522.62,2298.79,4643.76,2629.03,1623.59
"7914",18482.43,21722.77,24238.19,21661.00,12004.36,11700.46,6821.91
"7280",,,15781.11,1548.44,,8600.32,1342.29
"11377",,14014.78,7573.72,4961.00,4966.20,7258.44,3291.80
"12436",,,,,,,8591.77
"11425",84535.90,26259.64,103495.59,91412.45,84739.92,67684.03,67812.46
"11349",64519.38,40997.38,42993.13,19677.99,19495.52,11679.87,16190.36
"8015",130962.80,72770.63,150862.83,105460.44,100533.94,63853.24,59079.01
"11230",66228.78,37200.53,55562.93,39095.50,37382.12,50855.43,39319.83
"12069",,9810.11,53704.06,38774.83,34808.58,28876.89,42434.02
"10565",134.80,,,,3951.32,892.47,17000.28
"12255",,,,,474.40,,320.35
"11928",15786.51,,724.20,,13520.94,18499.02,17899.75
"11369",632212.73,352169.50,637561.77,382224.12,317438.68,345466.42,373016.54
"8113",57220.28,31603.45,114143.79,82371.78,53784.77,43033.67,105465.30
"11277",16901.99,8461.89,12621.76,8097.64,4359.41,1352.10,3546.18
"8312",36818.39,21496.73,28339.75,27034.60,15471.60,22768.48,25270.16
"12145",,,841.92,2446.59,16785.29,17533.78,21214.07
"7262",65733.43,30586.30,53542.95,40596.02,29009.21,31552.01,43214.14
"10566",6871.59,4713.10,1124.79,1879.37,4136.65,855.80,1291.07
"10807",68468.27,38571.90,76308.99,51685.35,59021.14,30303.22,71588.02
"10494",25915.45,12993.65,40116.43,19130.95,11390.32,9080.21,26055.99
"7827",94631.72,62344.68,67220.99,47356.53,57445.26,63948.79,92428.82
"0876",2158.91,1948.59,4122.98,5603.49,10568.12,12790.07,5953.07
"12090",,,9478.90,4847.14,3169.66,3975.43,3277.91
"8202",29354.41,21291.74,26729.52,31346.99,19419.76,27566.88,29745.38
"7025",103005.53,57622.74,98190.11,66553.46,78374.24,79644.31,42314.10
"12348",,,,,,1326.54,4228.79
"12007",,,9336.97,322.73,3264.36,10817.89,8455.74
"11896",1878.73,1140.06,292.85,,,,
"7309",20453.31,13124.64,54934.28,59728.40,34061.52,56501.23,52424.40
"7148",,,,282.19,,,
"12081",,,4915.59,,,,5638.91
"7674",1979.74,,,,,,
"10272",19682.43,5617.22,4304.42,4783.18,2404.64,6081.97,17463.13
"0606",66674.43,43237.16,69527.73,46866.08,57016.75,24726.62,36986.69
"7929",65707.60,47405.19,94906.79,43087.29,34190.33,15136.68,16856.17
"7032",530414.11,290332.14,457323.40,278095.54,262473.78,219001.91,389180.06
"7061",3844.54,2365.12,1920.84,,,,
"12371",,,,,,5984.91,33573.85
"10820",13993.35,1520.36,19406.93,5846.59,8498.42,11410.01,1421.60
"7130",21163.96,12353.45,15846.57,13667.42,9018.72,6227.07,12743.84
"10786",10418.05,12208.08,10484.85,21580.65,4073.21,15536.63,9192.76
"12103",,,,2383.96,3016.44,4065.14,27144.26
"8124",17553.16,5954.28,17784.03,7341.93,11863.69,6071.46,10539.01
"10293",27078.11,5448.31,7190.12,2058.51,8263.31,6628.03,10076.94
"0653",503875.95,357964.86,447355.41,422424.01,374298.73,259828.67,502951.84
"1056",,391.12,,,,,
"12144",,,376.60,731.93,,,
"12437",,,,,,,16275.79
"11740",38071.01,15032.27,31346.29,21001.08,16724.23,25824.57,45511.79
"10005",8177.40,1158.83,1568.68,1135.44,1115.84,534.44,835.35
"10836",35856.08,10254.87,7035.81,2153.23,7846.19,10480.69,8753.32
"11020",10705.50,2463.80,7582.59,2106.35,5557.56,2894.61,1989.42
"1057",55378.86,33439.44,42933.50,16702.96,90616.14,20330.23,28790.69
