"cod_master","mes","produzido","frequencia"
"10272",6,3972.86,10
"10272",7,3652.45,12
"10277",1,1269.38,7
"10277",2,227.83,2
"10277",3,2783.63,14
"10277",4,695.76,5
"10277",5,744.94,3
"10277",6,208.21,2
"10277",7,652.60,4
"10280",1,11158.73,45
"10280",2,5071.69,31
"10280",3,7012.72,47
"10280",4,9193.78,51
"10280",5,9306.98,58
"10280",6,8871.89,58
"10280",7,10031.38,52
"10281",1,99.82,1
"10281",2,687.30,3
"10281",3,512.40,3
"10281",4,146.47,1
"10281",5,205.02,2
"10281",6,1947.13,2
"10281",7,6270.61,5
"10282",1,10335.62,32
"10282",2,2989.54,16
"10282",3,6058.45,26
"10282",4,2639.43,23
"10282",5,3863.71,17
"10282",6,2953.33,17
"10282",7,3118.68,15
"10293",1,1496.78,4
"10293",2,3708.92,11
"10293",4,111.24,1
"10293",5,1663.82,1
"10293",7,5210.65,3
"10296",1,306.90,2
"10296",2,525.95,3
"10296",3,285.93,2
"10296",4,90.19,1
"10296",5,226.94,1
"10296",7,3621.52,6
"10299",1,2522.96,3
"10299",2,171.91,1
"10299",3,2522.79,17
"10299",4,3833.96,21
"10299",5,3552.30,11
"10299",6,524.92,6
"10299",7,1522.45,14
"10301",1,9247.95,32
"10301",2,2155.49,16
"10301",3,4177.05,29
"10301",4,8543.04,37
"10301",5,7140.47,35
"10301",6,3165.33,20
"10301",7,7869.42,29
"10304",1,4017.11,17
"10304",2,88.00,1
"10304",3,2781.94,13
"10304",5,551.21,4
"10304",6,1048.21,6
"10306",1,651.10,5
"10306",2,458.53,3
"10306",3,837.86,4
"10306",4,546.18,3
"10306",5,602.15,4
"10306",6,481.92,3
"10306",7,128.41,1
"10308",5,162.13,1
"10309",1,11135.43,43
"10309",2,4142.77,28
"10309",3,6018.79,44
"10309",4,5441.01,33
"10309",5,3564.21,29
"10309",6,4032.90,26
"10309",7,4574.22,33
"10313",1,11459.71,43
"10313",2,7782.08,37
"10313",3,10338.88,54
"10313",4,8775.72,58
"10313",5,6637.20,34
"10313",6,8571.11,43
"10313",7,9485.04,50
"10315",2,280.26,1
"10315",3,209.92,1
"10315",4,104.26,1
"10315",7,293.80,1
"10316",1,164.56,1
"10317",1,1070.31,4
"10317",2,391.35,4
"10317",3,486.61,4
"10317",4,636.18,3
"10317",5,428.44,3
"10317",6,385.87,2
"10317",7,925.70,6
"10319",4,149.65,1
"10321",1,294133.09,1225
"10321",2,154555.99,831
"10321",3,262320.78,1400
"10321",4,213376.71,1368
"10321",5,250592.39,1320
"10321",6,247214.37,1478
"10321",7,259780.14,1364
"10321",12,1509.88,11
"10330",1,311.11,2
"10330",2,371.87,3
"10330",3,287.54,2
"10330",4,229.65,2
"10330",5,518.83,2
"10330",6,205.01,2
"10330",7,570.24,4
"10332",1,106443.86,422
"10332",2,62216.79,209
"10332",3,88989.45,425
"10332",4,61527.08,339
"10332",5,54430.98,278
"10332",6,50430.74,247
"10332",7,48782.37,280
"10334",1,1978.54,4
"10334",2,391.64,4
"10334",3,157.98,2
"10334",4,146.47,2
"10334",5,114.37,1
"10334",7,110.07,1
"10336",1,5913.30,33
"10336",2,3832.44,16
"10336",3,9507.51,41
"10336",4,4522.54,32
"10336",5,3644.97,26
"10336",6,5281.24,31
"10336",7,4435.75,30
"10336",12,260.36,1
"10339",1,12574.74,52
"10339",2,3284.38,22
"10339",3,8747.09,51
"10339",4,4959.32,34
"10339",5,5431.81,31
"10339",6,2243.37,14
"10339",7,5294.24,33
"10340",1,4270.98,5
"10340",2,2729.20,4
"10340",3,852.92,2
"10340",6,1255.96,2
"10341",1,2732.57,5
"10341",3,95.00,1
"10341",4,531.37,4
"10341",5,1170.22,8
"10341",6,5485.22,10
"10341",7,1023.42,8
"10353",1,209690.15,597
"10353",2,126947.81,512
"10353",3,244976.32,977
"10353",4,222984.20,1033
"10353",5,232766.84,931
"10353",6,192562.01,880
"10353",7,177313.12,991
"10353",12,527.97,3
"10354",1,53997.04,130
"10354",2,1473.11,5
"10354",3,2180.67,6
"10354",4,413.78,2
"10354",5,601.03,3
"10354",6,638.64,3
"10354",7,427.66,2
"10358",1,11766.59,13
"10358",2,1747.60,8
"10358",3,7521.89,10
"10358",4,3889.33,11
"10358",5,2592.27,8
"10358",6,6317.33,14
