"cod_master","produzido","frequencia","faixa"
"11366",385.50,2,sem_faixa
"11368",425.56,4,sem_faixa
"11369",148315.58,674,faixa_3
"11374",551.57,3,sem_faixa
"11376",16990.38,21,faixa_1
"11377",1801.64,6,sem_faixa
"11381",47118.54,198,faixa_2
"11384",25905.29,91,faixa_2
"11386",7565.70,12,sem_faixa
"11388",1452.34,7,sem_faixa
"11390",3763.41,15,sem_faixa
"11391",3164.70,8,sem_faixa
"11392",117789.37,740,faixa_2
"11395",26.82,1,sem_faixa
"11396",321.77,2,sem_faixa
"11404",834.84,4,sem_faixa
"11407",73152.26,206,faixa_2
"11408",33254.61,168,faixa_2
"11410",15771.07,25,faixa_1
"11411",1727.11,10,sem_faixa
"11412",15881.93,85,faixa_1
"11414",1937.76,13,sem_faixa
"11415",570.78,4,sem_faixa
"11416",4658.37,21,sem_faixa
"11418",2327.32,3,sem_faixa
"11422",12007.53,20,faixa_1
"11425",36615.13,65,faixa_2
"11425.01",6234.40,32,sem_faixa
"11426",476.55,2,sem_faixa
"11428",12242.64,27,faixa_1
"11430",28913.71,203,faixa_2
"11432",6574.12,23,sem_faixa
"11433",82712.72,457,faixa_2
"11434",478.65,5,sem_faixa
"11439",247.69,2,sem_faixa
"11449",4647.19,16,sem_faixa
"11452",651.93,3,sem_faixa
"11457",8981.34,49,sem_faixa
"11458",4167.61,2,sem_faixa
"11459",801.08,3,sem_faixa
"11462",4833.88,28,sem_faixa
"11485",2606.19,16,sem_faixa
"11488",1735.55,9,sem_faixa
"11506",5707.93,33,sem_faixa
"11507",539.00,1,sem_faixa
"11510",438.82,2,sem_faixa
"11514",2433.66,12,sem_faixa
"11518",35609.69,200,faixa_2
"11524",3907.26,25,sem_faixa
"11533",6875.75,48,sem_faixa
"11536",100.52,1,sem_faixa
"11542",4544.68,6,sem_faixa
"11555",5025.93,19,sem_faixa
"11564",2415.34,10,sem_faixa
"11566",8153.54,91,sem_faixa
"11567",14753.42,49,faixa_1
"11572",1541.29,6,sem_faixa
"11581",49680.87,257,faixa_2
"11586",324.17,1,sem_faixa
"11613",2237.91,10,sem_faixa
"11621",920.63,4,sem_faixa
"11623",18089.45,42,faixa_1
"11627",1803.57,6,sem_faixa
"11631",9846.43,37,sem_faixa
"11632",2925.48,20,sem_faixa
"11634",2420.84,8,sem_faixa
"11641",125.49,1,sem_faixa
"11643",366.92,3,sem_faixa
"11645",724.38,1,sem_faixa
"11651",11891.40,41,faixa_1
"11655",8021.45,55,sem_faixa
"11675",1561.20,7,sem_faixa
"11679",13367.19,47,faixa_1
"11684",470.18,3,sem_faixa
"11685",9536.40,19,sem_faixa
"11690",1773.77,18,sem_faixa
"11694",2132.31,10,sem_faixa
"11699",16650.59,107,faixa_1
"11700",2351.69,11,sem_faixa
"11704",256.14,1,sem_faixa
"11705",27525.44,190,faixa_2
"11707",840.76,1,sem_faixa
"11708",30331.26,104,faixa_2
"11716",10980.77,7,faixa_1
"11717",10288.63,32,faixa_1
"11719",335.63,2,sem_faixa
"11722",178555.34,818,faixa_3
"11727",2241.50,12,sem_faixa
"11728",2410.52,9,sem_faixa
"11729",53153.32,197,faixa_2
"11733",6781.11,10,sem_faixa
"11735",26662.20,125,faixa_2
"11740",10228.23,58,faixa_1
"11742",5079.27,25,sem_faixa
"11747",146117.26,910,faixa_3
"11749",13214.69,71,faixa_1
"11759",2660.55,5,sem_faixa
"11765",265669.86,1612,faixa_3
"11776",150993.19,734,faixa_3
"11787",2166.57,18,sem_faixa
"11790",299.97,2,sem_faixa
"11795",1378.58,11,sem_faixa
"11800",1088.01,4,sem_faixa
"11805",876.26,5,sem_faixa
"11807",15018.70,59,faixa_1
"11817",195245.08,617,faixa_3
"11818",6383.03,35,sem_faixa
"11821",102.09,1,sem_faixa
"11831",354.79,2,sem_faixa
"11841",33777.36,229,faixa_2
"11846",375.54,2,sem_faixa
"11855",483.17,2,sem_faixa
"11858",20215.43,65,faixa_1
"11863",3319.16,25,sem_faixa
"11864",743991.41,5047,faixa_1
"11866",7042.32,35,sem_faixa
"11867",720.88,3,sem_faixa
"11874",630.93,2,sem_faixa
"11877",2048.55,4,sem_faixa
"11879",5230.02,40,sem_faixa
"11884",12575.02,63,faixa_1
"11889",32197.73,170,faixa_2
"11892",12540.23,44,faixa_1
"11895",1811.55,14,sem_faixa
"11902",17011.12,59,faixa_1
"11910",3005.25,20,sem_faixa
"11913",16874.28,72,faixa_1
"11914",650.95,2,sem_faixa
"11915",1925.66,4,sem_faixa
"11919",171.06,2,sem_faixa
"11922",2952.53,20,sem_faixa
"11928",8909.46,62,sem_faixa
"11931",5702.23,13,sem_faixa
"11932",9006.30,33,sem_faixa
"11933",3491.98,5,sem_faixa
"11936",4231.70,24,sem_faixa
"11938",1950.47,5,sem_faixa
"11942",143.07,1,sem_faixa
"11943",300.45,3,sem_faixa
"11948",24263.35,118,faixa_2
"11952",14153.94,26,faixa_1
"11955",11620.11,4,faixa_1
"11956",1265.47,6,sem_faixa
"11957",9216.22,29,sem_faixa
"11959",13218.57,98,faixa_1
"11960",7581.25,29,sem_faixa
"11966",218.64,2,sem_faixa
"11968",5739.61,18,sem_faixa
"11969",121.45,1,sem_faixa
"11978",1800.08,6,sem_faixa
"11982",17539.91,76,faixa_1
"11985",1497.32,11,sem_faixa
"11990",11931.32,1,faixa_1
"11992",29710.16,101,faixa_2
"11993",314.64,2,sem_faixa
"11997",1195.69,4,sem_faixa
"12014",14595.85,80,faixa_1
"12016",120.88,1,sem_faixa
"12017",123095.45,788,faixa_2
"12018",6380.69,42,sem_faixa
"12019",86689.24,607,faixa_2
"12021",1929.45,10,sem_faixa
"12022",253.24,1,sem_faixa
"12023",531.54,2,sem_faixa
"12024",13069.67,92,faixa_1
"12025",17181.24,82,faixa_1
"12026",20196.48,150,faixa_1
"12030",11556.30,18,faixa_1
"12035",7440.80,24,sem_faixa
"12038",1259.70,7,sem_faixa
"12041",1517.60,5,sem_faixa
"12042",12791.70,69,faixa_1
"12045",488.17,3,sem_faixa
"12047",27727.81,134,faixa_2
"12049",16104.50,103,faixa_1
"12050",20157.79,133,faixa_1
"12052",4970.20,11,sem_faixa
"12056",24480.69,65,faixa_2
"12060",663.05,1,sem_faixa
"12061",1117.79,8,sem_faixa
"12066",3358.49,22,sem_faixa
"12067",1246.26,8,sem_faixa
"12068",552.54,1,sem_faixa
"12069",34355.38,156,faixa_2
"12072",28434.51,74,faixa_2
"12081",1605.86,10,sem_faixa
"12087",5455.64,35,sem_faixa
"12088",16356.56,42,faixa_1
"12090",410.17,2,sem_faixa
"12093",3198.48,6,sem_faixa
"12097",1550.25,7,sem_faixa
"12098",2751.29,4,sem_faixa
"12102",5800.77,41,sem_faixa
"12103",519.35,3,sem_faixa
"12106",1020.37,7,sem_faixa
"12107",609.36,5,sem_faixa
"12109",3717.88,10,sem_faixa
"12110",2325.27,12,sem_faixa
"12112",536.28,4,sem_faixa
"12113",16544.30,58,faixa_1
"12114",18378.91,87,faixa_1
"12119",302.66,2,sem_faixa
"12121",83585.35,402,faixa_2
"12124",3384.98,16,sem_faixa
"12128",3146.86,19,sem_faixa
"12130",856.01,6,sem_faixa
"12131",721.27,4,sem_faixa
"12135",2591.38,2,sem_faixa
"12139",15730.50,64,faixa_1
"12140",1640.92,8,sem_faixa
"12142",3012.64,12,sem_faixa
"12143",28398.82,212,faixa_2
"12145",11171.39,55,faixa_1
"12149",481.27,2,sem_faixa
"12153",11758.86,51,faixa_1
"12155",204.30,1,sem_faixa
"12156",875.18,2,sem_faixa
"12162",317.53,1,sem_faixa
"12167",2320.67,9,sem_faixa
"12171",285.17,1,sem_faixa
"12172",1772.51,9,sem_faixa
"12174",19344.85,122,faixa_1
"12175",30788.16,205,faixa_2
"12176",561.79,3,sem_faixa
"12177",4101.25,27,sem_faixa
"12180",250.31,1,sem_faixa
"12181",2045.48,13,sem_faixa
"12182",2797.22,13,sem_faixa
"12186",3120.78,16,sem_faixa
"12189",518.42,1,sem_faixa
"12191",2464.12,3,sem_faixa
"12193",6388.45,41,sem_faixa
"12194",9409.80,68,sem_faixa
"12195",11061.83,58,faixa_1
"12199",25824.75,208,faixa_2
"12206",3627.53,21,sem_faixa
"12207",15746.69,23,faixa_1
"12208",7424.86,15,sem_faixa
"12221",1313.05,3,sem_faixa
"12222",5291.22,33,sem_faixa
"12224",1598.58,2,sem_faixa
"12226",5215.16,10,sem_faixa
"12227",12770.52,21,faixa_1
"12228",127.67,1,sem_faixa
"12229",19115.33,35,faixa_1
"12233",2427.70,9,sem_faixa
"12234",262.41,1,sem_faixa
"12236",5076.71,2,sem_faixa
"12238",246.03,1,sem_faixa
"12241",3226.25,14,sem_faixa
"12245",3908.01,23,sem_faixa
"12246",1897.86,7,sem_faixa
"12247",15817.70,85,faixa_1
"12248",2046.55,1,sem_faixa
"12249",688.83,6,sem_faixa
"12255",80.95,1,sem_faixa
"12258",14165.76,24,faixa_1
"12263",6487.15,41,sem_faixa
"12266",176.54,1,sem_faixa
"12270",3289.63,11,sem_faixa
"12275",7769.27,1,sem_faixa
"12276",10452.74,78,faixa_1
"12277",3662.57,6,sem_faixa
"12284",554.83,4,sem_faixa
"12286",5170.23,12,sem_faixa
"12290",20109.39,102,faixa_1
"12292",56.43,1,sem_faixa
"12294",15162.18,56,faixa_1
"12296",2960.35,11,sem_faixa
"12297",3163.94,13,sem_faixa
"12298",1344.58,2,sem_faixa
"12302",331.78,1,sem_faixa
"12304",3846.30,15,sem_faixa
"12305",67723.23,375,faixa_2
"12307",147.48,3,sem_faixa
"12312",19156.35,83,faixa_1
"12313",21034.18,13,faixa_1
"12315",12748.94,51,faixa_1
"12316",6905.01,21,sem_faixa
"12318",49698.72,171,faixa_2
"12320",9493.66,20,sem_faixa
"12321",18192.67,216,faixa_1
"12322",4176.68,16,sem_faixa
"12324",837.47,5,sem_faixa
