"cod_master","jan_prod","jan_freq","fev_prod","fev_freq","mar_prod","mar_freq","abr_prod","abr_freq","mai_prod","mai_freq","jun_prod","jul_freq","jul_prod"
"10235",27510.01,45,3661.74,14,10451.83,35,9310.97,42,8145.31,33,3275.50,15,3923.73
"10236",2084.45,11,110.46,1,1783.45,6,511.56,4,1182.39,7,1792.09,12,3350.47
"10242",4143.30,5,1995.89,2,1084.31,3,1429.21,2,,0,,0,
"10249",,0,85.81,1,1904.47,2,313.86,2,,0,83.40,1,606.82
"10251",7318.68,23,6338.68,8,5258.48,22,1079.93,7,686.84,5,,0,
"10253",592289.92,1817,237038.83,865,432268.70,1927,389414.81,1794,315564.66,1362,408694.41,1775,406316.30
"1026",1019.48,2,51.39,1,507.09,3,183.14,1,330.68,2,80.26,1,701.07
"10263",16150.36,67,4151.26,32,13782.15,79,16523.08,85,18471.91,52,11947.81,87,11759.22
"10264",3723.68,5,227.01,2,392.72,4,1430.80,6,416.81,3,1195.87,8,3933.42
"10272",8620.16,11,436.47,2,3229.43,4,1687.83,2,1088.56,3,3972.86,10,3652.45
"10277",1269.38,7,227.83,2,2783.63,14,695.76,5,744.94,3,208.21,2,652.60
"10280",11158.73,45,5071.69,31,7012.72,47,9193.78,51,9306.98,58,8871.89,58,10031.38
"10281",99.82,1,687.30,3,512.40,3,146.47,1,205.02,2,1947.13,2,6270.61
"10282",10335.62,32,2989.54,16,6058.45,26,2639.43,23,3863.71,17,2953.33,17,3118.68
"10293",1496.78,4,3708.92,11,,0,111.24,1,1663.82,1,,0,5210.65
"10296",306.90,2,525.95,3,285.93,2,90.19,1,226.94,1,,0,3621.52
"10299",2522.96,3,171.91,1,2522.79,17,3833.96,21,3552.30,11,524.92,6,1180.09
"10301",9247.95,32,2155.49,16,4177.05,29,8543.04,37,7140.47,35,3165.33,20,7756.32
"10304",4017.11,17,88.00,1,2781.94,13,,0,551.21,4,1048.21,6,
"10306",651.10,5,458.53,3,837.86,4,546.18,3,602.15,4,481.92,3,128.41
"10308",,0,,0,,0,,0,162.13,1,,0,
"10309",11135.43,43,4142.77,28,6018.79,44,5441.01,33,3564.21,29,4032.90,26,4484.98
"10313",11459.71,43,7782.08,37,10338.88,54,8775.72,58,6637.20,34,8571.11,43,9485.04
"10315",,0,280.26,1,209.92,1,104.26,1,,0,,0,293.80
"10316",164.56,1,,0,,0,,0,,0,,0,
"10317",1070.31,4,391.35,4,486.61,4,636.18,3,428.44,3,385.87,2,651.05
"10319",,0,,0,,0,149.65,1,,0,,0,
